Customer_ID,Age,Gender,Location
C1000,28,Female,Chennai
C1001,27,Male,Delhi
C1002,34,Other,Chennai
C1003,23,Male,Bangalore
C1004,24,Other,Kolkata
C1005,22,Other,Bangalore
C1006,30,Male,Kolkata
C1007,38,Female,Delhi
C1008,52,Male,Kolkata
C1009,21,Male,Kolkata
C1010,42,Female,Kolkata
C1011,36,Other,Bangalore
C1012,34,Male,Kolkata
C1013,55,Male,Chennai
C1014,40,Other,Bangalore
C1015,54,Other,Mumbai
C1016,41,Other,Kolkata
C1017,44,Male,Delhi
C1018,22,Female,Mumbai
C1019,40,Female,Delhi
C1020,52,Female,Delhi
C1021,41,Female,Delhi
C1022,40,Male,Mumbai
C1023,36,Male,Delhi
C1024,19,Other,Bangalore
C1025,45,Other,Delhi
C1026,20,Male,Chennai
C1027,52,Other,Mumbai
C1028,52,Other,Bangalore
C1029,54,Female,Chennai
C1030,35,Other,Kolkata
C1031,36,Female,Kolkata
C1032,28,Female,Mumbai
C1033,31,Male,Mumbai
C1034,35,Female,Delhi
C1035,60,Female,Bangalore
C1036,27,Male,Bangalore
C1037,53,Other,Chennai
C1038,44,Other,Chennai
C1039,27,Female,Bangalore
C1040,56,Male,Chennai
C1041,30,Other,Mumbai
C1042,54,Other,Bangalore
C1043,57,Female,Chennai
C1044,54,Other,Kolkata
C1045,27,Male,Kolkata
C1046,19,Other,Chennai
C1047,20,Female,Chennai
C1048,28,Other,Bangalore
C1049,38,Other,Mumbai
C1050,25,Female,Chennai
C1051,49,Other,Delhi
C1052,53,Female,Kolkata
C1053,50,Male,Delhi
C1054,35,Female,Mumbai
C1055,22,Male,Mumbai
C1056,22,Male,Kolkata
C1057,23,Other,Mumbai
C1058,36,Other,Mumbai
C1059,36,Other,Bangalore
C1060,48,Other,Mumbai
C1061,37,Other,Chennai
C1062,55,Male,Chennai
C1063,38,Male,Delhi
C1064,27,Male,Delhi
C1065,43,Other,Mumbai
C1066,35,Other,Mumbai
C1067,30,Other,Bangalore
C1068,21,Male,Chennai
C1069,29,Female,Kolkata
C1070,55,Female,Kolkata
C1071,50,Other,Kolkata
C1072,29,Male,Kolkata
C1073,48,Female,Kolkata
C1074,21,Male,Mumbai
C1075,49,Female,Kolkata
C1076,35,Female,Chennai
C1077,40,Female,Bangalore
C1078,60,Other,Mumbai
C1079,39,Male,Mumbai
C1080,28,Female,Mumbai
C1081,37,Other,Kolkata
C1082,57,Male,Bangalore
C1083,38,Female,Bangalore
C1084,51,Male,Chennai
C1085,47,Other,Delhi
C1086,52,Other,Chennai
C1087,50,Female,Bangalore
C1088,49,Other,Delhi
C1089,25,Other,Kolkata
C1090,38,Female,Kolkata
C1091,54,Male,Delhi
C1092,37,Female,Mumbai
C1093,34,Male,Kolkata
C1094,40,Male,Mumbai
C1095,33,Other,Kolkata
C1096,36,Other,Mumbai
C1097,23,Other,Bangalore
C1098,57,Female,Bangalore
C1099,46,Other,Bangalore
C1100,48,Other,Delhi
C1101,24,Other,Bangalore
C1102,27,Other,Bangalore
C1103,24,Female,Mumbai
C1104,44,Other,Mumbai
C1105,37,Female,Kolkata
C1106,18,Male,Mumbai
C1107,22,Other,Mumbai
C1108,28,Female,Kolkata
C1109,39,Other,Delhi
C1110,30,Other,Mumbai
C1111,51,Male,Delhi
C1112,41,Other,Bangalore
C1113,46,Female,Kolkata
C1114,55,Other,Bangalore
C1115,50,Female,Chennai
C1116,52,Other,Kolkata
C1117,58,Other,Kolkata
C1118,44,Male,Chennai
C1119,44,Female,Kolkata
C1120,53,Male,Delhi
C1121,45,Other,Mumbai
C1122,39,Male,Bangalore
C1123,23,Male,Bangalore
C1124,21,Female,Delhi
C1125,31,Female,Bangalore
C1126,45,Male,Delhi
C1127,23,Female,Delhi
C1128,22,Other,Mumbai
C1129,21,Female,Mumbai
C1130,31,Female,Delhi
C1131,53,Male,Bangalore
C1132,57,Female,Kolkata
C1133,29,Other,Delhi
C1134,52,Male,Kolkata
C1135,19,Other,Mumbai
C1136,32,Other,Mumbai
C1137,60,Male,Chennai
C1138,55,Other,Delhi
C1139,35,Other,Mumbai
C1140,55,Male,Bangalore
C1141,39,Other,Chennai
C1142,37,Female,Chennai
C1143,49,Male,Kolkata
C1144,40,Male,Bangalore
C1145,36,Female,Delhi
C1146,36,Female,Chennai
C1147,18,Other,Mumbai
C1148,50,Male,Bangalore
C1149,49,Female,Delhi
C1150,56,Other,Delhi
C1151,54,Other,Chennai
C1152,39,Male,Mumbai
C1153,43,Male,Delhi
C1154,36,Female,Bangalore
C1155,56,Other,Mumbai
C1156,28,Other,Chennai
C1157,36,Other,Bangalore
C1158,56,Female,Chennai
C1159,44,Other,Mumbai
C1160,24,Female,Delhi
C1161,19,Male,Mumbai
C1162,50,Female,Mumbai
C1163,29,Male,Mumbai
C1164,27,Other,Delhi
C1165,42,Female,Bangalore
C1166,31,Male,Kolkata
C1167,22,Male,Kolkata
C1168,58,Other,Mumbai
C1169,43,Female,Mumbai
C1170,54,Female,Bangalore
C1171,22,Other,Bangalore
C1172,22,Male,Delhi
C1173,19,Other,Mumbai
C1174,58,Female,Chennai
C1175,20,Male,Kolkata
C1176,53,Female,Kolkata
C1177,36,Other,Delhi
C1178,30,Other,Kolkata
C1179,50,Female,Bangalore
C1180,46,Female,Kolkata
C1181,28,Male,Chennai
C1182,50,Other,Bangalore
C1183,33,Other,Kolkata
C1184,25,Male,Mumbai
C1185,43,Male,Kolkata
C1186,47,Male,Kolkata
C1187,22,Female,Chennai
C1188,43,Male,Kolkata
C1189,40,Female,Kolkata
C1190,37,Female,Delhi
C1191,42,Male,Delhi
C1192,34,Female,Kolkata
C1193,44,Female,Bangalore
C1194,35,Other,Mumbai
C1195,59,Other,Kolkata
C1196,18,Male,Kolkata
C1197,45,Female,Bangalore
C1198,50,Male,Kolkata
C1199,30,Female,Bangalore
C1200,58,Male,Bangalore
C1201,30,Male,Bangalore
C1202,54,Male,Delhi
C1203,41,Male,Delhi
C1204,55,Female,Kolkata
C1205,37,Male,Mumbai
C1206,40,Other,Bangalore
C1207,37,Other,Mumbai
C1208,18,Male,Bangalore
C1209,50,Male,Delhi
C1210,30,Female,Chennai
C1211,32,Other,Chennai
C1212,39,Female,Delhi
C1213,59,Male,Delhi
C1214,57,Female,Chennai
C1215,21,Female,Chennai
C1216,22,Female,Bangalore
C1217,34,Female,Mumbai
C1218,41,Male,Delhi
C1219,20,Other,Delhi
C1220,50,Female,Kolkata
C1221,58,Female,Bangalore
C1222,48,Male,Bangalore
C1223,30,Male,Kolkata
C1224,57,Male,Mumbai
C1225,37,Other,Bangalore
C1226,48,Male,Mumbai
C1227,52,Other,Bangalore
C1228,46,Male,Kolkata
C1229,45,Female,Delhi
C1230,35,Male,Delhi
C1231,26,Male,Bangalore
C1232,21,Other,Chennai
C1233,28,Other,Mumbai
C1234,50,Other,Kolkata
C1235,35,Male,Bangalore
C1236,46,Other,Mumbai
C1237,49,Male,Mumbai
C1238,57,Male,Kolkata
C1239,39,Other,Bangalore
C1240,60,Male,Mumbai
C1241,56,Other,Chennai
C1242,22,Female,Kolkata
C1243,23,Female,Kolkata
C1244,55,Female,Delhi
C1245,38,Other,Delhi
C1246,59,Female,Kolkata
C1247,58,Other,Bangalore
C1248,35,Female,Bangalore
C1249,28,Male,Delhi
C1250,52,Female,Delhi
C1251,40,Other,Chennai
C1252,59,Male,Mumbai
C1253,36,Female,Kolkata
C1254,41,Other,Delhi
C1255,20,Female,Delhi
C1256,20,Female,Mumbai
C1257,37,Male,Chennai
C1258,53,Other,Chennai
C1259,31,Female,Kolkata
C1260,40,Female,Chennai
C1261,30,Female,Kolkata
C1262,50,Male,Mumbai
C1263,41,Female,Delhi
C1264,60,Other,Delhi
C1265,24,Other,Chennai
C1266,18,Male,Bangalore
C1267,58,Male,Chennai
C1268,41,Male,Bangalore
C1269,19,Other,Kolkata
C1270,59,Other,Kolkata
C1271,19,Female,Kolkata
C1272,27,Female,Delhi
C1273,35,Female,Chennai
C1274,51,Female,Chennai
C1275,43,Female,Delhi
C1276,20,Male,Bangalore
C1277,42,Other,Chennai
C1278,45,Female,Chennai
C1279,25,Other,Kolkata
C1280,23,Female,Delhi
C1281,41,Male,Mumbai
C1282,48,Male,Delhi
C1283,59,Female,Delhi
C1284,38,Other,Mumbai
C1285,54,Female,Chennai
C1286,58,Other,Chennai
C1287,32,Male,Chennai
C1288,29,Other,Kolkata
C1289,45,Male,Kolkata
C1290,36,Male,Bangalore
C1291,46,Male,Bangalore
C1292,22,Other,Kolkata
C1293,22,Female,Chennai
C1294,57,Male,Kolkata
C1295,24,Male,Kolkata
C1296,54,Female,Kolkata
C1297,36,Female,Bangalore
C1298,34,Female,Chennai
C1299,28,Male,Kolkata
C1300,50,Male,Delhi
C1301,21,Other,Bangalore
C1302,57,Other,Kolkata
C1303,45,Male,Bangalore
C1304,58,Other,Bangalore
C1305,56,Female,Kolkata
C1306,51,Other,Bangalore
C1307,34,Male,Chennai
C1308,39,Male,Kolkata
C1309,37,Male,Mumbai
C1310,45,Other,Bangalore
C1311,34,Male,Chennai
C1312,59,Other,Mumbai
C1313,59,Male,Bangalore
C1314,50,Other,Bangalore
C1315,42,Male,Mumbai
C1316,29,Other,Mumbai
C1317,47,Male,Chennai
C1318,18,Male,Kolkata
C1319,55,Female,Chennai
C1320,33,Male,Chennai
C1321,59,Male,Chennai
C1322,44,Female,Kolkata
C1323,44,Male,Delhi
C1324,22,Other,Delhi
C1325,31,Male,Delhi
C1326,19,Male,Delhi
C1327,26,Female,Kolkata
C1328,58,Female,Delhi
C1329,28,Other,Bangalore
C1330,43,Male,Chennai
C1331,53,Female,Kolkata
C1332,30,Other,Bangalore
C1333,34,Other,Delhi
C1334,23,Other,Delhi
C1335,59,Other,Delhi
C1336,57,Female,Kolkata
C1337,26,Female,Kolkata
C1338,44,Male,Delhi
C1339,44,Male,Mumbai
C1340,46,Male,Delhi
C1341,44,Female,Bangalore
C1342,46,Male,Chennai
C1343,45,Female,Bangalore
C1344,23,Male,Kolkata
C1345,20,Female,Bangalore
C1346,30,Other,Delhi
C1347,29,Other,Mumbai
C1348,38,Male,Delhi
C1349,37,Other,Bangalore
C1350,21,Female,Kolkata
C1351,33,Female,Chennai
C1352,20,Male,Kolkata
C1353,50,Male,Mumbai
C1354,30,Male,Bangalore
C1355,33,Male,Chennai
C1356,52,Female,Chennai
C1357,48,Other,Mumbai
C1358,42,Other,Kolkata
C1359,32,Female,Delhi
C1360,33,Other,Delhi
C1361,49,Male,Bangalore
C1362,33,Other,Bangalore
C1363,42,Female,Delhi
C1364,53,Female,Mumbai
C1365,57,Male,Mumbai
C1366,55,Female,Chennai
C1367,60,Male,Bangalore
C1368,59,Other,Mumbai
C1369,51,Other,Kolkata
C1370,33,Other,Mumbai
C1371,19,Other,Chennai
C1372,33,Female,Delhi
C1373,55,Other,Delhi
C1374,21,Other,Mumbai
C1375,40,Other,Mumbai
